# This is the list of all model files in descending order of f1-score
# Duplicate models are removed based on their performance
# Date: 09/13/2018

model_name,f1_score,roc_auc_score,total_actives,predicted_actives,version
classifier_steroid_hormone_receptor_err1,1.0,1.0,7,7,py35
classifier_retinoic_acid_receptor_rxr_beta,1.0,1.0,11,11,py35
classifier_bcl_2_related_protein_a1,1.0,1.0,4,4,py35
classifier_egl_nine_homolog_2,1.0,1.0,10,10,py35
classifier_equilibrative_nucleoside_transporter_1,1.0,1.0,31,31,py35
classifier_solute_carrier_family_2_facilitated_glucose_transporter_member_3,1.0,1.0,4,4,py35
classifier_hypoxia_inducible_factor_1_alpha,1.0,1.0,4,4,py35
classifier_toll_like_receptor_8,1.0,1.0,5,5,py35
classifier_elongation_of_very_long_chain_fatty_acids_protein_6,1.0,1.0,17,17,py35
classifier_regulator_of_g_protein_signaling_4,1.0,1.0,4,4,py35
classifier_vasopressin_v1b_receptor,1.0,1.0,20,20,py35
classifier_toll_like_receptor_7,1.0,1.0,6,6,py35
classifier_low_affinity_immunoglobulin_epsilon_fc_receptor,1.0,1.0,4,4,py35
classifier_integrin_alpha_v,1.0,1.0,5,5,py35
classifier_galectin_34,1.0,1.0,4,4,py35
classifier_eukaryotic_initiation_factor_4a_i,1.0,1.0,7,7,py35
classifier_igg_receptor_fcrn_large_subunit_p51,1.0,1.0,7,7,py35
classifier_intercellular_adhesion_molecule_1,1.0,1.0,24,24,py35
classifier_fibroblast_growth_factor_1,1.0,1.0,10,10,py35
classifier_cx3c_chemokine_receptor_1,1.0,1.0,4,4,py35
classifier_lysophosphatidic_acid_receptor_3,1.0,1.0,8,8,py35
classifier_c_c_chemokine_receptor_like_2,1.0,1.0,18,18,py35
classifier_period_circadian_protein_homolog_2,1.0,1.0,5,5,py35
classifier_niemann_pick_c1_like_protein_1,1.0,1.0,5,5,py35
classifier_complement_c1s_subcomponent,1.0,1.0,12,12,py35
classifier_endothelial_pas_domain_containing_protein_1,1.0,1.0,4,4,py35
classifier_c_c_motif_chemokine_5,1.0,1.0,6,6,py35
classifier_sphingosine_1_phosphate_receptor_2,1.0,1.0,19,19,py35
classifier_e_selectin,1.0,1.0,26,26,py35
classifier_tyrosine_protein_phosphatase_non_receptor_type_11,1.0,1.0,5,5,py27
classifier_cytochrome_p450_1b1,1.0,1.0,11,11,py27
classifier_insulin_like_growth_factor_binding_protein_3,1.0,1.0,4,4,py27
classifier_kininogen_1,1.0,1.0,10,10,py27
classifier_folate_receptor_alpha,1.0,1.0,7,7,py27
classifier_calcitonin_gene_related_peptide_1,1.0,1.0,10,10,py27
classifier_trifunctional_purine_biosynthetic_protein_adenosine_3,1.0,1.0,8,8,py27
classifier_appetite_regulating_hormone,1.0,1.0,4,4,py27
classifier_growth_factor_receptor_bound_protein_2,1.0,1.0,25,25,py27
